ID,Language1,Language2,Age,Nationality,Coordinates,Gender
S240,Telugu,English,20-24,Indian,"(51.52, -0.04)",Male
S245,Hindi,English,25-29,Indian,"(51.56,0.0088)",Female
S261,Punjabi,English,30-34,Indian,"(51.52, -0.04)",Male
S242,Hindi,English,20-24,Indian,"(26.11934, 83.54389)",Male
S262,Sinhala,English,25-29,Sri Lankan,"(6.93, 79.86)",Male
S238,Telugu,English,20-24,Indian,"(51.52, -0.04)",Female
S259,Tamil,English,20-24,Indian,"(8.17, 77.43)",Male
S226,Tamil,,20-24,Indian,"(10.7905, 78.7047)",Female
S266,Hindi,English,20-24,Indian,"(51.52, -0.04)",Male
S269,Chinese,English,20-24,Chinese,"(41.48,123.25)",Male
S273,Bengali,English,25-29,Indian,"(22.70,88.37)",Male
S234,Chinese,English,20-24,Chinese,"(51.52, -0.04)",Female
S253,Hindi,English,45-49,Indian,"(25.80, 84.12)",Male
S229,Chinese,English,25-29,Chinese,"(30.00, 120.00)",Male
S249,,,,,,
S243,,,,,,
S225,,,,,,
S248,,,,,,
S244,English,Hindi,25-29,Indian,"(51.52, -0.04)",Female
S256,,,,,,
